"id_musica","id_artista","nome","duracao_segundos"
"073yIM7v2j6XadD4Nkn0Fh","6nVcHLIgY5pE2YCl8ubca1",Dile Homenaje ,229
"3IAfUEeaXRX9s9UdKOJrFI","7FNnA9vBm6EKceENgCGRMb",Envolver,194
"1Rs8mULjCbEo0ko7Ckx6Vi","4lDXfIznmGueBgTjI3qGUX",They Said with Ricky Ducati ,248
"1QxIFMs4M8qd5cbJJu80v4","6LuN9FCkKOj5PcnpouEgny",Skyline,183
"4xF4WcJvNfgtJ2CtmbbsIg","21mKp7DqtSNHhCAU2ugvUw",If You Don t feat Cumulus ,187
"5fwSHlTEWpluwOM0Sxnh5k","329e4yvIujISKGKz1BZZbO",Pepas,287
"6mmPpaltUZK7xjNlBPQQ0p","1mcTU81TzQhprhouKaTkpq",Desesperados,225
"6HMtHNpW6YPi1hrw9tgF8P","56oDRnqbIiwx4mymNEv7dS",About Damn Time,192
"5Tmjre46yj0r1lBjS9abe9","5XGMdl7ZEKx6q1WI3i3oWc",En el Aire,186
"40sRwFjfrRnaTdYPJIg4CP","3YQKmKGau1PzlVlkL1iodx",Hometown,235
"4ymz9jrj3HKWBBSYeWcxqh","1FmrdSfTqWOzQoEoaS7MWb",Don t Shoot Me Down,221
"4PKvKkQ9nnU8BVcTqve2WB","3tjF6wLt90r7qSWukrn401",Passion,304
"1BXAyGazbybUVNQ0VmGsdl","5Mq7iqCWBzofK39FBqblNc",Free Yourself,234
"23khhseCLQqVMCIT1WMAns","4gzpq5DPGxSnKTe4SA8HAU",Magic,285
"1Ma1JqyeNg7RVdeTlYP5AN","2x7EATekOPhFGRx3syMGEC",Bittersweet Symphony,280
"79wvYwZgtfcnCwBI8XIep8","25tMQOrIU4LlUo6Sv8v5SE",Always,248
"2tVJpUamLfNdUI7SiyPIFF","75oAxYtjhDyLttgvGwQIvM",In This Dark Time,208
"0tcNM9PPdMYv9S3tjuZSyV","6LHsnRBUYhFyt01PdKXAF5",Desire,352
"2aI21FnmY7TJVKeMaoQZ0t","2jw70GZXlAI8QzWeY2bgRc",Say It Right,223
"67vYdAAM3oGsEImCRfbtsF","7jy3rLJdDQY21OgRLCZ9sD",Times Like These,266
"0BCPKOYdS2jbQ8iyB56Zns","4gzpq5DPGxSnKTe4SA8HAU",Clocks,308
"4zdaqhDpl2pXrwTsqbqRG8","5rRcnWrevHgbuWjl7Lhft7",Do It,159
"6pvqBIceXlX3zC09vqHOEo","0YUntKeRMwfY3aoFZi6YX6",Flight Proven,294
"3pD0f7hSJg2XdQ6udw5Tey","31TPClRtHm23RisEBtV3X7",What Goes Around Comes Around Interlude ,449
"75rGONmoi48LLYBFaGiYsv","3NKVm2Jedcf6ibJr6pMUVx",Both Of Us Edit,229
"18ywhG9EvuMMUIdUWxEqp7","1AgxgADPuRIW1wyaA4OKcB",Go Solo,142
"4o0LyB69tylqDG6eTGhmig","7FtCyCJCJaxabYO7Uyda5B",Fire for You,232
"4MzXwWMhyBbmu6hOcLVD49","4q3ewBCX7sLwd24euuV69X",DÁKITI,205
"7stcuQtnHL7C6XdPvpwywv","6LuN9FCkKOj5PcnpouEgny",Vertigo,270
"2Iyfw8YfKruAagJwGc4G07","1AgxgADPuRIW1wyaA4OKcB",It s Ok,191
"0BomfsUcw03fQPKK668Etn","4WN5naL3ofxrVBgFpguzKo",Feel the Love feat John Newman ,245
"745YGJ8otAdLnrU8fzXZMf","6wkM5eF4WkRNOOSWmtgW7d",Sunrise,187
"70AYiGbc4mWZGEqiipBBDb","7ltDVBr6mKbRvohxheJ9h1",CANDY,193
"1yupbrI7ROhigIHpQBevPh","4MXUO7sVCaFgFjoTI5ox5c",Chicago,365
"4os68qINs29EvlHxXmsjVG","6Mn5HNY6bJSqK31cRa0uiv",Hoops Acoustic,206
"1vq1KgeHuDaS3qyhwfpF0P","6TGsaPbyXTM7FAeHi68yp7",How Could I Ever feat Shungudzo ,248
"0h9fnCSnbUgOEgibnQByFv","4gzpq5DPGxSnKTe4SA8HAU",Everyday Life,259
"6Tdkyq2BxDIRjwtXvR1ZWP","7uaIm6Pw7xplS8Dy06V6pT",Past Life,181
"0gzqZ9d1jIKo9psEIthwXe","51Blml2LZPmy7TTiAg47vQ",Beautiful Day,248
"1LBWVVGfTCr8EYNSd92W81","3Mn6d673ieRza7uw6zY2Zv",Moje Sve,162
"1lPFRP15jhkMnjpdl23c2X","5Mq7iqCWBzofK39FBqblNc",Free Yourself Eats Everything Remix,244
"0b11D9D0hMOYCIMN3OKreM","5ghnxpW47ojtLHHyTLdxdY",Into Your Arms feat Ava Max ,186
"67zr6xdiSAhsuyvL2Dczc1","0vUJ3QLN3MlRfjOc2LjGWp",Good Life Remastered Club Mix,196
"4Ojwbj9OGwenMdwoq4UU1W","3Mn6d673ieRza7uw6zY2Zv",Schwerelos,178
"2JPLbjOn0wPCngEot2STUS","4q3ewBCX7sLwd24euuV69X",Yonaguni,207
"0bBd6K5X4W7t9GyXcaVOA7","1vyhD5VmyZ7KMfW5gqLgo5",Sigue,159
"5FZPZNVIj2UPm2dJTlYdyM","6Paz0vXJJ9bCPf0fEm3qzg",Bye Bye Baby,166
"4DdD88ps8wnB4pHqMDgQnk","1ChtRJ3f4rbv4vtz87i6CD",Magical,225
"6UUEP3mPXDGp38dzQex0ef","1AgxgADPuRIW1wyaA4OKcB",Seasons Under My Bed,176
"2IIBSwTxmaff30n4GTs7Gv","6wlk4iqaEgEvADMVG6QMd8",Dead In The Water,201
"6RL874lg82xKIK67y7cmdL","0hSgRl2U8kSaJLE2Di325f",Move into Me Roosevelt Remix,260
"0xfMlIW8lS40qvpsUw1l0X","7keGfmQR4X5w0two1xKZ7d",Never Going Home,170
"5ildQOEKmJuWGl2vRkFdYc","7ltDVBr6mKbRvohxheJ9h1",DESPECHÁ,157
"6WkJ2OK163XXS2oARUC9JM","77qukKzmdI5BeMBR7WGUrN",Dancin feat Luvli Krono Remix,198
"6KNLUSRViRg5bG0E1y1feX","33Cf4O1KAVbtQa00scMi2A",Wanderlust,232
"6K8MYTkn5mZzF6p14hV5cj","24oVOFAARWAYUb1LaedbI0",MUJER,162
"2QjOHCTQ1Jl3zawyYOpxh6","77SW9BnxLY8rJ0RciFqkHh",Sweater Weather,240
"60hwCyAHX9zdcUyALMOIV4","05b8FQR9CoT2SNAXtEix5K",Play For Keeps,187
"2erg7Xduc8OHhkLepV4eER","4bL2B6hmLlMWnUEZnorEtG",Book Of Love feat Polina ,198
"3132j0P8NEPDvRxnEHjHtv","1AgxgADPuRIW1wyaA4OKcB",Going to be Wonderful,178
"1bx7OUl2UmAnA5oZkm9If7","4rGrN4XDYhP6dUAZMvcuHr",Jerk It Out,196
"0dyRc3jZrdywX7Cosd9ZFV","1fQDzf4lnUF4DYngrLJH0m",Sweeter,233
"0HgtzcG4DIziiFlg50SiAC","2Fr3thQpXvwAH6GzgVUtpY",Aching Bones,208
"43I0E943aSF6HMWPXcjLrw","3DYAP9CXyfNiM2nlu09w4i",Song to the Siren,197
"1SgUjGzbmmMOsGFTVwQ59L","7oPxPZSk7y5q0fhzpmX5Gi",seaside demo,132
"4gXjRoMPoTdK8giycHxkLY","1AgxgADPuRIW1wyaA4OKcB",How This Came To Be,169
"6kvgeyNduS0YwPKPc6hOmH","75oAxYtjhDyLttgvGwQIvM",In This Dark Time Two Are Remix,473
"76JfD8gFnMISdAnSbe3ND3","0YUntKeRMwfY3aoFZi6YX6",In the Shadow of Giants,368
"66Q3fAmSX5eHamgbKa9alP","5K4W6rqBFWDnAN6FQUkS6x",Real Friends,252
