"id_artista","nome"
"6nVcHLIgY5pE2YCl8ubca1",Jhayco
"7FNnA9vBm6EKceENgCGRMb",Anitta
"4lDXfIznmGueBgTjI3qGUX",Møme
"6LuN9FCkKOj5PcnpouEgny",Khalid
"21mKp7DqtSNHhCAU2ugvUw",ODESZA
"329e4yvIujISKGKz1BZZbO",Farruko
"1mcTU81TzQhprhouKaTkpq",Rauw Alejandro
"56oDRnqbIiwx4mymNEv7dS",Lizzo
"5XGMdl7ZEKx6q1WI3i3oWc",Vega Almohalla
"3YQKmKGau1PzlVlkL1iodx",Twenty One Pilots
"1FmrdSfTqWOzQoEoaS7MWb",Anevo
"3tjF6wLt90r7qSWukrn401",The Flirts
"5Mq7iqCWBzofK39FBqblNc",Jessie Ware
"4gzpq5DPGxSnKTe4SA8HAU",Coldplay
"2x7EATekOPhFGRx3syMGEC",The Knocks
"25tMQOrIU4LlUo6Sv8v5SE",Gavin James
"75oAxYtjhDyLttgvGwQIvM",Aime Simone
"6LHsnRBUYhFyt01PdKXAF5",Bob Moses
"2jw70GZXlAI8QzWeY2bgRc",Nelly Furtado
"7jy3rLJdDQY21OgRLCZ9sD",Foo Fighters
"5rRcnWrevHgbuWjl7Lhft7",Merk & Kremont
"0YUntKeRMwfY3aoFZi6YX6",Test Shot Starfish
"31TPClRtHm23RisEBtV3X7",Justin Timberlake
"3NKVm2Jedcf6ibJr6pMUVx",Jayda G
"1AgxgADPuRIW1wyaA4OKcB",Tom Rosenthal
"7FtCyCJCJaxabYO7Uyda5B",Cannons
"4q3ewBCX7sLwd24euuV69X",Bad Bunny
"4WN5naL3ofxrVBgFpguzKo",Rudimental
"6wkM5eF4WkRNOOSWmtgW7d",MERLOT
"7ltDVBr6mKbRvohxheJ9h1",ROSALÍA
"4MXUO7sVCaFgFjoTI5ox5c",Sufjan Stevens
"6Mn5HNY6bJSqK31cRa0uiv",JONES
"6TGsaPbyXTM7FAeHi68yp7",KUU
"7uaIm6Pw7xplS8Dy06V6pT",Trevor Daniel
"51Blml2LZPmy7TTiAg47vQ",U2
"3Mn6d673ieRza7uw6zY2Zv",Hava
"5ghnxpW47ojtLHHyTLdxdY",Witt Lowry
"0vUJ3QLN3MlRfjOc2LjGWp",Inner City
"1vyhD5VmyZ7KMfW5gqLgo5",J Balvin
"6Paz0vXJJ9bCPf0fEm3qzg",Dagny
"1ChtRJ3f4rbv4vtz87i6CD",Cassian
"6wlk4iqaEgEvADMVG6QMd8",James Gillespie
"0hSgRl2U8kSaJLE2Di325f",Bad Sounds
"7keGfmQR4X5w0two1xKZ7d",Kungs
"77qukKzmdI5BeMBR7WGUrN",Aaron Smith
"33Cf4O1KAVbtQa00scMi2A",AK
"24oVOFAARWAYUb1LaedbI0",Icy Subzero
"77SW9BnxLY8rJ0RciFqkHh",The Neighbourhood
"05b8FQR9CoT2SNAXtEix5K",Runzo
"4bL2B6hmLlMWnUEZnorEtG",Felix Jaehn
"4rGrN4XDYhP6dUAZMvcuHr",Caesars
"1fQDzf4lnUF4DYngrLJH0m",letherette
"2Fr3thQpXvwAH6GzgVUtpY",Sleep Thieves
"3DYAP9CXyfNiM2nlu09w4i",Rose Betts
"7oPxPZSk7y5q0fhzpmX5Gi",SEB
"5K4W6rqBFWDnAN6FQUkS6x",Kanye West
"06knYh538h5SI7OAEF8ek3",Georgia
"68nJ4J8L6X6HZNTuZ9e7yT",SACRE
"0Suv0tRrNrUlRzAy8aXjma",Haddaway
